unpacked hash,arch,stage,variant,cluster id,config
f32f6b229913d68daad937cc72a57aa45291a9d623109ed48938815aa7b6005c,x64,RAT (3rd stage),RAT-KrCERT-x64 (TigerRAT),cluster 1,52.202.193.124 52.202.193.124 1.0.0.0
ed11e94fd9aa3c7d4dd0b4345c106631fe52929c6e26a0daec2ed7d22e47ada0,x64,RAT (3rd stage),RAT-KrCERT-x64 (TigerRAT),cluster 1,185.208.158.208 185.208.158.208 1.0.0.0
fec82f2542d7f82e9fce3e16bfa4024f253adee7121973bd9d67a3c79441b83c,x64,RAT (3rd stage),RAT-KrCERT-x64 (TigerRAT),cluster 1,185.208.158.208 185.208.158.208 1.0.0.0
4aadf767491077ab83c6436cf108b014fc0bf8c3bd01cc6087a0f2b80564bc08,x64,RAT (3rd stage),RAT-Kaspersky-x64 (TigerRAT),cluster 0,10.101.30.127 2.0.0.1 4.0.0.0
8b3c8046fa776b70821b7e50baa772a395d3d245c10bdaa4b6171e0c5ce3f717,x64,RAT (3rd stage),RAT-Kaspersky-x64 (TigerRAT),cluster 0,23.229.111.197 23.229.111.197 23.229.111.197
bbddcb280af742ce10842b18b9d7120632cc042a8fe42eed90fc4bc94f2d71ac,x64,RAT (3rd stage),RAT-Kaspersky-x64 (TigerRAT),cluster 0,45.58.112.77 45.58.112.77 16.0.0.0
868a62feff8b46466e9d63b83135a7987bf6d332c13739aa11b747b3e2ad4bbf,x64,RAT (3rd stage),RAT-Kaspersky-x64 (TigerRAT),cluster 0,45.58.112.77 45.58.112.77 16.0.0.0
464eaa82103f6f479e0d62dd48d2dab8ece300458136c03165d20915ee658067,x86,RAT (3rd stage),RAT-Kaspersky-x86 (TigerRAT),cluster 5,23.229.111.197 23.229.111.197 23.229.111.197
5c2f339362d0cd8e5a8e3105c9c56971087bea2701ea3b7324771b0ea2c26c6c,x64,Downloader (2nd stage),Downloader-Kaspersky-x64,cluster 2,http://mail.sisnet.co.kr/jsp/user/sms/sms_recv.jsp http://mail.neocyon.com/jsp/user/sms/sms_recv.jsp
1177105e51fa02f9977bd435f9066123ace32b991ed54912ece8f3d4fbeeade4,x64,Downloader (2nd stage),Downloader-Kaspersky-x64,cluster 2,http://www.jinjinpig.co.kr/Anyboard/skin/board.php http://mail.namusoft.kr/jsp/user/eam/board.jsp
63bae252d796bc9ac331fdc13744a72bd85d1065ef41a884dc11c6245ea933e2,x64,Downloader (2nd stage),Downloader-Malwarebytes-x64,cluster 2,http://snum.or.kr/skin_img/skin.php http://www.ddjm.co.kr/bbs/icon/skin/skin.php
588cdbd3ee3594525eb62fa7bab148f6d7ab000737fc0c311a5588dc96794acc,x64,Downloader (2nd stage),Downloader-Kaspersky-x64 (Persistence),cluster 3,http://www.jinjinpig.co.kr/Anyboard/skin/board.php http://mail.namusoft.kr/jsp/user/eam/board.jsp
49a13bf0aa53990771b7b7a7ab31d6805ed1b547e7d9f114e8e26a98f6fbee28,x86,Downloader (2nd stage),Downloader-Kaspersky-x86,cluster 4,http://www.conkorea.com/cshop/banner/list.php http://www.allamwith.com/home/mobile/list.php
